,County,Race,Name_1,Party_1,Votes_1,Name_2,Party_2,Votes_2,Name_3,Party_3,Votes_3,Name_4,Party_4,Votes_4,Name_5,Party_5,Votes_5,Name_6,Party_6,Votes_6,Name_7,Party_7,Votes_7,Votes_total,Pct_1,Pct_2,Pct_3,Pct_4,Pct_5,Pct_6,Pct_7,Margin
0,King,King County  Assessor,John Wilson,None,"409,450",Write-In,None3,"6,567",,,0,,,0,,,0,,,0,,,0,"416,017",98.42,1.58,0.0,0.0,0.0,0.0,0.0,96.84
1,Snohomish,Snohomish County  Assessor,Linda Hjelle,None,"136,832",Write-In,None3,"3,534",,,0,,,0,,,0,,,0,,,0,"140,366",97.48,2.52,0.0,0.0,0.0,0.0,0.0,94.96
2,Whatcom,Whatcom County  Assessor,Rebecca Xczar,None,"37,239",John Romaker,None2,"35,832",Write-In,None3,147,,,0,,,0,,,0,,,0,"73,218",50.86,48.94,0.2,0.0,0.0,0.0,0.0,1.92
