,Title,Location,Name_1,Party_1,Votes_1,Name_2,Party_2,Votes_2,Votes_total,Pct_1,Pct_2,Margin
440,,Spokane 9204,Yes,Yes,21,No,No,45,66,31.8,68.2,-36.4
441,,Spokane 9205,Yes,Yes,29,No,No,39,68,42.6,57.4,-14.8
442,,Spokane 9206,Yes,Yes,21,No,No,32,53,39.6,60.4,-20.8
443,,Spokane 9207,Yes,Yes,22,No,No,36,58,37.9,62.1,-24.2
444,,Spokane 9208,Yes,Yes,40,No,No,73,113,35.4,64.6,-29.2
445,,Spokane 9209,Yes,Yes,15,No,No,21,36,41.7,58.3,-16.6
446,,Spokane 9300,Yes,Yes,18,No,No,24,42,42.9,57.1,-14.2
447,,Spokane 9400,Yes,Yes,5,No,No,18,23,21.7,78.3,-56.6
448,,Spokane 9500,Yes,Yes,41,No,No,72,113,36.3,63.7,-27.4
449,,Spokane 9600,Yes,Yes,9,No,No,21,30,30.0,70.0,-40.0
450,,Spokane 9700,Yes,Yes,27,No,No,46,73,37.0,63.0,-26.0
