,District,Name_1,Party_1,Votes_1,Name_2,Party_2,Votes_2,Name_3,Party_3,Votes_3,Name_4,Party_4,Votes_4,Name_5,Party_5,Votes_5,Name_6,Party_6,Votes_6,Name_7,Party_7,Votes_7,Votes_total,Pct_1,Pct_2,Pct_3,Pct_4,Pct_5,Pct_6,Pct_7,Margin,District_ID
0,King District 2,Girmay Zahilay,None,"44,250",Larry Gossett,None2,"28,792",Write-In,None3,270,,,0,,,0,,,0,,,0,"73,312",60.36,39.27,0.37,0.0,0.0,0.0,0.0,21.09,King District 2
1,Snohomish District 2,Megan Dunn,Democratic,"17,736",Anna Rohrbough,Republican,"14,564",Write-In,None3,72,,,0,,,0,,,0,,,0,"32,372",54.79,44.99,0.22,0.0,0.0,0.0,0.0,9.8,Snohomish District 2
2,Spokane District 2,Randal Rosman,None,"2,750",Marcy A. Cockle,None2,281,Write-In,None3,35,Write-In,None,6,,,0,,,0,,,0,"3,072",89.52,9.15,1.14,0.2,0.0,0.0,0.0,80.37,Spokane District 2
3,Stevens District 2,Adenea Thompson,None,845,Write-In,None3,15,,,0,,,0,,,0,,,0,,,0,860,98.26,1.74,0.0,0.0,0.0,0.0,0.0,96.52,Stevens District 2
