,Precinct,Name_1,Party_1,Votes_1,Name_2,Party_2,Votes_2,Name_3,Party_3,Votes_3,Name_4,Party_4,Votes_4,Name_5,Party_5,Votes_5,Name_6,Party_6,Votes_6,Name_7,Party_7,Votes_7,Votes_total,Pct_1,Pct_2,Pct_3,Pct_4,Pct_5,Pct_6,Pct_7,Margin
34,King 1591,Girmay Zahilay,None,160,Larry Gossett,None2,82,,,0,,,0,,,0,,,0,,,0,242,66.12,33.88,0.0,0.0,0.0,0.0,0.0,32.24
35,King 1592,Girmay Zahilay,None,294,Larry Gossett,None2,90,,,0,,,0,,,0,,,0,,,0,384,76.56,23.44,0.0,0.0,0.0,0.0,0.0,53.12
36,King 1593,Girmay Zahilay,None,202,Larry Gossett,None2,72,,,0,,,0,,,0,,,0,,,0,274,73.72,26.28,0.0,0.0,0.0,0.0,0.0,47.44
37,King 1594,Girmay Zahilay,None,151,Larry Gossett,None2,69,,,0,,,0,,,0,,,0,,,0,220,68.64,31.36,0.0,0.0,0.0,0.0,0.0,37.28
38,King 1596,Girmay Zahilay,None,177,Larry Gossett,None2,117,,,0,,,0,,,0,,,0,,,0,294,60.2,39.8,0.0,0.0,0.0,0.0,0.0,20.4
39,King 1597,Girmay Zahilay,None,102,Larry Gossett,None2,75,,,0,,,0,,,0,,,0,,,0,177,57.63,42.37,0.0,0.0,0.0,0.0,0.0,15.26
40,King 1600,Girmay Zahilay,None,179,Larry Gossett,None2,87,,,0,,,0,,,0,,,0,,,0,266,67.29,32.71,0.0,0.0,0.0,0.0,0.0,34.58
41,King 1607,Girmay Zahilay,None,175,Larry Gossett,None2,99,,,0,,,0,,,0,,,0,,,0,274,63.87,36.13,0.0,0.0,0.0,0.0,0.0,27.74
42,King 1608,Girmay Zahilay,None,260,Larry Gossett,None2,89,,,0,,,0,,,0,,,0,,,0,349,74.5,25.5,0.0,0.0,0.0,0.0,0.0,49.0
43,King 1609,Girmay Zahilay,None,220,Larry Gossett,None2,70,,,0,,,0,,,0,,,0,,,0,290,75.86,24.14,0.0,0.0,0.0,0.0,0.0,51.72
44,King 1610,Girmay Zahilay,None,158,Larry Gossett,None2,47,,,0,,,0,,,0,,,0,,,0,205,77.07,22.93,0.0,0.0,0.0,0.0,0.0,54.14
45,King 1611,Girmay Zahilay,None,127,Larry Gossett,None2,62,,,0,,,0,,,0,,,0,,,0,189,67.2,32.8,0.0,0.0,0.0,0.0,0.0,34.4
46,King 1612,Girmay Zahilay,None,99,Larry Gossett,None2,72,,,0,,,0,,,0,,,0,,,0,171,57.89,42.11,0.0,0.0,0.0,0.0,0.0,15.78
47,King 1613,Larry Gossett,None2,102,Girmay Zahilay,None,99,,,0,,,0,,,0,,,0,,,0,201,50.75,49.25,0.0,0.0,0.0,0.0,0.0,1.5
48,King 1614,Girmay Zahilay,None,103,Larry Gossett,None2,59,,,0,,,0,,,0,,,0,,,0,162,63.58,36.42,0.0,0.0,0.0,0.0,0.0,27.16
49,King 1615,Girmay Zahilay,None,141,Larry Gossett,None2,66,,,0,,,0,,,0,,,0,,,0,207,68.12,31.88,0.0,0.0,0.0,0.0,0.0,36.24
50,King 1616,Girmay Zahilay,None,144,Larry Gossett,None2,75,,,0,,,0,,,0,,,0,,,0,219,65.75,34.25,0.0,0.0,0.0,0.0,0.0,31.5
51,King 1617,Girmay Zahilay,None,158,Larry Gossett,None2,43,,,0,,,0,,,0,,,0,,,0,201,78.61,21.39,0.0,0.0,0.0,0.0,0.0,57.22
52,King 1618,Girmay Zahilay,None,160,Larry Gossett,None2,72,,,0,,,0,,,0,,,0,,,0,232,68.97,31.03,0.0,0.0,0.0,0.0,0.0,37.94
53,King 1619,Girmay Zahilay,None,187,Larry Gossett,None2,83,,,0,,,0,,,0,,,0,,,0,270,69.26,30.74,0.0,0.0,0.0,0.0,0.0,38.52
54,King 1620,Girmay Zahilay,None,81,Larry Gossett,None2,67,,,0,,,0,,,0,,,0,,,0,148,54.73,45.27,0.0,0.0,0.0,0.0,0.0,9.46
55,King 1621,Girmay Zahilay,None,86,Larry Gossett,None2,68,,,0,,,0,,,0,,,0,,,0,154,55.84,44.16,0.0,0.0,0.0,0.0,0.0,11.68
56,King 1622,Girmay Zahilay,None,122,Larry Gossett,None2,115,,,0,,,0,,,0,,,0,,,0,237,51.48,48.52,0.0,0.0,0.0,0.0,0.0,2.96
57,King 1624,Girmay Zahilay,None,170,Larry Gossett,None2,95,,,0,,,0,,,0,,,0,,,0,265,64.15,35.85,0.0,0.0,0.0,0.0,0.0,28.3
58,King 1628,Girmay Zahilay,None,135,Larry Gossett,None2,78,,,0,,,0,,,0,,,0,,,0,213,63.38,36.62,0.0,0.0,0.0,0.0,0.0,26.76
59,King 1629,Girmay Zahilay,None,144,Larry Gossett,None2,101,,,0,,,0,,,0,,,0,,,0,245,58.78,41.22,0.0,0.0,0.0,0.0,0.0,17.56
60,King 1630,Larry Gossett,None2,87,Girmay Zahilay,None,75,,,0,,,0,,,0,,,0,,,0,162,53.7,46.3,0.0,0.0,0.0,0.0,0.0,7.4
61,King 1631,Larry Gossett,None2,85,Girmay Zahilay,None,78,,,0,,,0,,,0,,,0,,,0,163,52.15,47.85,0.0,0.0,0.0,0.0,0.0,4.3
62,King 1632,Girmay Zahilay,None,90,Larry Gossett,None2,78,,,0,,,0,,,0,,,0,,,0,168,53.57,46.43,0.0,0.0,0.0,0.0,0.0,7.14
63,King 1633,Girmay Zahilay,None,91,Larry Gossett,None2,78,,,0,,,0,,,0,,,0,,,0,169,53.85,46.15,0.0,0.0,0.0,0.0,0.0,7.7
64,King 1634,Girmay Zahilay,None,128,Larry Gossett,None2,85,,,0,,,0,,,0,,,0,,,0,213,60.09,39.91,0.0,0.0,0.0,0.0,0.0,20.18
65,King 1635,Girmay Zahilay,None,156,Larry Gossett,None2,117,,,0,,,0,,,0,,,0,,,0,273,57.14,42.86,0.0,0.0,0.0,0.0,0.0,14.28
66,King 1636,Girmay Zahilay,None,105,Larry Gossett,None2,76,,,0,,,0,,,0,,,0,,,0,181,58.01,41.99,0.0,0.0,0.0,0.0,0.0,16.02
67,King 1637,Girmay Zahilay,None,164,Larry Gossett,None2,126,,,0,,,0,,,0,,,0,,,0,290,56.55,43.45,0.0,0.0,0.0,0.0,0.0,13.1
68,King 1638,Girmay Zahilay,None,104,Larry Gossett,None2,70,,,0,,,0,,,0,,,0,,,0,174,59.77,40.23,0.0,0.0,0.0,0.0,0.0,19.54
69,King 1639,Girmay Zahilay,None,125,Larry Gossett,None2,103,,,0,,,0,,,0,,,0,,,0,228,54.82,45.18,0.0,0.0,0.0,0.0,0.0,9.64
70,King 1640,Girmay Zahilay,None,153,Larry Gossett,None2,148,,,0,,,0,,,0,,,0,,,0,301,50.83,49.17,0.0,0.0,0.0,0.0,0.0,1.66
71,King 1641,Girmay Zahilay,None,103,Larry Gossett,None2,86,,,0,,,0,,,0,,,0,,,0,189,54.5,45.5,0.0,0.0,0.0,0.0,0.0,9.0
72,King 1643,Larry Gossett,None2,107,Girmay Zahilay,None,94,,,0,,,0,,,0,,,0,,,0,201,53.23,46.77,0.0,0.0,0.0,0.0,0.0,6.46
73,King 1646,Girmay Zahilay,None,96,Larry Gossett,None2,54,,,0,,,0,,,0,,,0,,,0,150,64.0,36.0,0.0,0.0,0.0,0.0,0.0,28.0
74,King 1647,Girmay Zahilay,None,204,Larry Gossett,None2,166,,,0,,,0,,,0,,,0,,,0,370,55.14,44.86,0.0,0.0,0.0,0.0,0.0,10.28
75,King 1648,Girmay Zahilay,None,199,Larry Gossett,None2,146,,,0,,,0,,,0,,,0,,,0,345,57.68,42.32,0.0,0.0,0.0,0.0,0.0,15.36
76,King 1650,Girmay Zahilay,None,89,Larry Gossett,None2,68,,,0,,,0,,,0,,,0,,,0,157,56.69,43.31,0.0,0.0,0.0,0.0,0.0,13.38
77,King 1651,Girmay Zahilay,None,190,Larry Gossett,None2,127,,,0,,,0,,,0,,,0,,,0,317,59.94,40.06,0.0,0.0,0.0,0.0,0.0,19.88
78,King 1652,Larry Gossett,None2,75,Girmay Zahilay,None,74,,,0,,,0,,,0,,,0,,,0,149,50.34,49.66,0.0,0.0,0.0,0.0,0.0,0.68
79,King 1817,Larry Gossett,None2,66,Girmay Zahilay,None,62,,,0,,,0,,,0,,,0,,,0,128,51.56,48.44,0.0,0.0,0.0,0.0,0.0,3.12
80,King 1818,Larry Gossett,None2,124,Girmay Zahilay,None,44,,,0,,,0,,,0,,,0,,,0,168,73.81,26.19,0.0,0.0,0.0,0.0,0.0,47.62
81,King 1819,Larry Gossett,None2,156,Girmay Zahilay,None,122,,,0,,,0,,,0,,,0,,,0,278,56.12,43.88,0.0,0.0,0.0,0.0,0.0,12.24
82,King 1821,Larry Gossett,None2,78,Girmay Zahilay,None,71,,,0,,,0,,,0,,,0,,,0,149,52.35,47.65,0.0,0.0,0.0,0.0,0.0,4.7
83,King 1824,Girmay Zahilay,None,158,Larry Gossett,None2,68,,,0,,,0,,,0,,,0,,,0,226,69.91,30.09,0.0,0.0,0.0,0.0,0.0,39.82
84,King 1826,Girmay Zahilay,None,211,Larry Gossett,None2,125,,,0,,,0,,,0,,,0,,,0,336,62.8,37.2,0.0,0.0,0.0,0.0,0.0,25.6
85,King 1827,Girmay Zahilay,None,156,Larry Gossett,None2,110,,,0,,,0,,,0,,,0,,,0,266,58.65,41.35,0.0,0.0,0.0,0.0,0.0,17.3
86,King 1831,Girmay Zahilay,None,157,Larry Gossett,None2,71,,,0,,,0,,,0,,,0,,,0,228,68.86,31.14,0.0,0.0,0.0,0.0,0.0,37.72
87,King 1833,Girmay Zahilay,None,228,Larry Gossett,None2,127,,,0,,,0,,,0,,,0,,,0,355,64.23,35.77,0.0,0.0,0.0,0.0,0.0,28.46
88,King 1834,Girmay Zahilay,None,149,Larry Gossett,None2,80,,,0,,,0,,,0,,,0,,,0,229,65.07,34.93,0.0,0.0,0.0,0.0,0.0,30.14
89,King 1838,Girmay Zahilay,None,309,Larry Gossett,None2,145,,,0,,,0,,,0,,,0,,,0,454,68.06,31.94,0.0,0.0,0.0,0.0,0.0,36.12
90,King 1839,Girmay Zahilay,None,161,Larry Gossett,None2,75,,,0,,,0,,,0,,,0,,,0,236,68.22,31.78,0.0,0.0,0.0,0.0,0.0,36.44
91,King 1840,Girmay Zahilay,None,218,Larry Gossett,None2,118,,,0,,,0,,,0,,,0,,,0,336,64.88,35.12,0.0,0.0,0.0,0.0,0.0,29.76
92,King 1841,Girmay Zahilay,None,289,Larry Gossett,None2,108,,,0,,,0,,,0,,,0,,,0,397,72.8,27.2,0.0,0.0,0.0,0.0,0.0,45.6
93,King 1850,Girmay Zahilay,None,197,Larry Gossett,None2,91,,,0,,,0,,,0,,,0,,,0,288,68.4,31.6,0.0,0.0,0.0,0.0,0.0,36.8
94,King 1853,Girmay Zahilay,None,135,Larry Gossett,None2,60,,,0,,,0,,,0,,,0,,,0,195,69.23,30.77,0.0,0.0,0.0,0.0,0.0,38.46
95,King 1854,Girmay Zahilay,None,114,Larry Gossett,None2,83,,,0,,,0,,,0,,,0,,,0,197,57.87,42.13,0.0,0.0,0.0,0.0,0.0,15.74
96,King 1856,Girmay Zahilay,None,222,Larry Gossett,None2,103,,,0,,,0,,,0,,,0,,,0,325,68.31,31.69,0.0,0.0,0.0,0.0,0.0,36.62
97,King 1861,Girmay Zahilay,None,369,Larry Gossett,None2,115,,,0,,,0,,,0,,,0,,,0,484,76.24,23.76,0.0,0.0,0.0,0.0,0.0,52.48
98,King 1863,Girmay Zahilay,None,216,Larry Gossett,None2,63,,,0,,,0,,,0,,,0,,,0,279,77.42,22.58,0.0,0.0,0.0,0.0,0.0,54.84
99,King 1868,Girmay Zahilay,None,196,Larry Gossett,None2,74,,,0,,,0,,,0,,,0,,,0,270,72.59,27.41,0.0,0.0,0.0,0.0,0.0,45.18
100,King 1869,Girmay Zahilay,None,203,Larry Gossett,None2,64,,,0,,,0,,,0,,,0,,,0,267,76.03,23.97,0.0,0.0,0.0,0.0,0.0,52.06
101,King 1870,Girmay Zahilay,None,239,Larry Gossett,None2,80,,,0,,,0,,,0,,,0,,,0,319,74.92,25.08,0.0,0.0,0.0,0.0,0.0,49.84
102,King 1871,Girmay Zahilay,None,261,Larry Gossett,None2,144,,,0,,,0,,,0,,,0,,,0,405,64.44,35.56,0.0,0.0,0.0,0.0,0.0,28.88
103,King 1872,Girmay Zahilay,None,206,Larry Gossett,None2,167,,,0,,,0,,,0,,,0,,,0,373,55.23,44.77,0.0,0.0,0.0,0.0,0.0,10.46
104,King 1874,Girmay Zahilay,None,253,Larry Gossett,None2,136,,,0,,,0,,,0,,,0,,,0,389,65.04,34.96,0.0,0.0,0.0,0.0,0.0,30.08
105,King 1875,Girmay Zahilay,None,184,Larry Gossett,None2,107,,,0,,,0,,,0,,,0,,,0,291,63.23,36.77,0.0,0.0,0.0,0.0,0.0,26.46
106,King 1876,Girmay Zahilay,None,338,Larry Gossett,None2,119,,,0,,,0,,,0,,,0,,,0,457,73.96,26.04,0.0,0.0,0.0,0.0,0.0,47.92
107,King 1879,Girmay Zahilay,None,212,Larry Gossett,None2,82,,,0,,,0,,,0,,,0,,,0,294,72.11,27.89,0.0,0.0,0.0,0.0,0.0,44.22
108,King 1880,Girmay Zahilay,None,231,Larry Gossett,None2,85,,,0,,,0,,,0,,,0,,,0,316,73.1,26.9,0.0,0.0,0.0,0.0,0.0,46.2
109,King 1881,Girmay Zahilay,None,180,Larry Gossett,None2,114,,,0,,,0,,,0,,,0,,,0,294,61.22,38.78,0.0,0.0,0.0,0.0,0.0,22.44
110,King 1882,Girmay Zahilay,None,181,Larry Gossett,None2,65,,,0,,,0,,,0,,,0,,,0,246,73.58,26.42,0.0,0.0,0.0,0.0,0.0,47.16
111,King 1883,Girmay Zahilay,None,160,Larry Gossett,None2,91,,,0,,,0,,,0,,,0,,,0,251,63.75,36.25,0.0,0.0,0.0,0.0,0.0,27.5
112,King 1884,Girmay Zahilay,None,310,Larry Gossett,None2,116,,,0,,,0,,,0,,,0,,,0,426,72.77,27.23,0.0,0.0,0.0,0.0,0.0,45.54
113,King 1885,Girmay Zahilay,None,252,Larry Gossett,None2,118,,,0,,,0,,,0,,,0,,,0,370,68.11,31.89,0.0,0.0,0.0,0.0,0.0,36.22
114,King 1886,Girmay Zahilay,None,289,Larry Gossett,None2,105,,,0,,,0,,,0,,,0,,,0,394,73.35,26.65,0.0,0.0,0.0,0.0,0.0,46.7
115,King 1887,Girmay Zahilay,None,161,Larry Gossett,None2,91,,,0,,,0,,,0,,,0,,,0,252,63.89,36.11,0.0,0.0,0.0,0.0,0.0,27.78
116,King 1888,Girmay Zahilay,None,307,Larry Gossett,None2,95,,,0,,,0,,,0,,,0,,,0,402,76.37,23.63,0.0,0.0,0.0,0.0,0.0,52.74
117,King 1889,Girmay Zahilay,None,215,Larry Gossett,None2,88,,,0,,,0,,,0,,,0,,,0,303,70.96,29.04,0.0,0.0,0.0,0.0,0.0,41.92
118,King 1890,Girmay Zahilay,None,250,Larry Gossett,None2,159,,,0,,,0,,,0,,,0,,,0,409,61.12,38.88,0.0,0.0,0.0,0.0,0.0,22.24
119,King 1891,Girmay Zahilay,None,129,Larry Gossett,None2,83,,,0,,,0,,,0,,,0,,,0,212,60.85,39.15,0.0,0.0,0.0,0.0,0.0,21.7
120,King 1892,Girmay Zahilay,None,300,Larry Gossett,None2,119,,,0,,,0,,,0,,,0,,,0,419,71.6,28.4,0.0,0.0,0.0,0.0,0.0,43.2
121,King 1893,Girmay Zahilay,None,193,Larry Gossett,None2,125,,,0,,,0,,,0,,,0,,,0,318,60.69,39.31,0.0,0.0,0.0,0.0,0.0,21.38
122,King 1894,Girmay Zahilay,None,200,Larry Gossett,None2,99,,,0,,,0,,,0,,,0,,,0,299,66.89,33.11,0.0,0.0,0.0,0.0,0.0,33.78
123,King 1895,Girmay Zahilay,None,270,Larry Gossett,None2,128,,,0,,,0,,,0,,,0,,,0,398,67.84,32.16,0.0,0.0,0.0,0.0,0.0,35.68
124,King 1896,Girmay Zahilay,None,179,Larry Gossett,None2,111,,,0,,,0,,,0,,,0,,,0,290,61.72,38.28,0.0,0.0,0.0,0.0,0.0,23.44
125,King 1898,Girmay Zahilay,None,132,Larry Gossett,None2,47,,,0,,,0,,,0,,,0,,,0,179,73.74,26.26,0.0,0.0,0.0,0.0,0.0,47.48
126,King 1899,Girmay Zahilay,None,133,Larry Gossett,None2,98,,,0,,,0,,,0,,,0,,,0,231,57.58,42.42,0.0,0.0,0.0,0.0,0.0,15.16
127,King 1900,Girmay Zahilay,None,124,Larry Gossett,None2,90,,,0,,,0,,,0,,,0,,,0,214,57.94,42.06,0.0,0.0,0.0,0.0,0.0,15.88
128,King 1901,Girmay Zahilay,None,126,Larry Gossett,None2,48,,,0,,,0,,,0,,,0,,,0,174,72.41,27.59,0.0,0.0,0.0,0.0,0.0,44.82
129,King 1902,Girmay Zahilay,None,131,Larry Gossett,None2,95,,,0,,,0,,,0,,,0,,,0,226,57.96,42.04,0.0,0.0,0.0,0.0,0.0,15.92
130,King 1903,Girmay Zahilay,None,112,Larry Gossett,None2,98,,,0,,,0,,,0,,,0,,,0,210,53.33,46.67,0.0,0.0,0.0,0.0,0.0,6.66
131,King 1906,Girmay Zahilay,None,195,Larry Gossett,None2,106,,,0,,,0,,,0,,,0,,,0,301,64.78,35.22,0.0,0.0,0.0,0.0,0.0,29.56
132,King 1907,Girmay Zahilay,None,293,Larry Gossett,None2,169,,,0,,,0,,,0,,,0,,,0,462,63.42,36.58,0.0,0.0,0.0,0.0,0.0,26.84
133,King 1910,Girmay Zahilay,None,213,Larry Gossett,None2,130,,,0,,,0,,,0,,,0,,,0,343,62.1,37.9,0.0,0.0,0.0,0.0,0.0,24.2
134,King 1911,Larry Gossett,None2,98,Girmay Zahilay,None,81,,,0,,,0,,,0,,,0,,,0,179,54.75,45.25,0.0,0.0,0.0,0.0,0.0,9.5
135,King 1913,Larry Gossett,None2,107,Girmay Zahilay,None,105,,,0,,,0,,,0,,,0,,,0,212,50.47,49.53,0.0,0.0,0.0,0.0,0.0,0.94
136,King 1914,Girmay Zahilay,None,230,Larry Gossett,None2,131,,,0,,,0,,,0,,,0,,,0,361,63.71,36.29,0.0,0.0,0.0,0.0,0.0,27.42
137,King 1915,Girmay Zahilay,None,166,Larry Gossett,None2,123,,,0,,,0,,,0,,,0,,,0,289,57.44,42.56,0.0,0.0,0.0,0.0,0.0,14.88
138,King 1916,Girmay Zahilay,None,158,Larry Gossett,None2,81,,,0,,,0,,,0,,,0,,,0,239,66.11,33.89,0.0,0.0,0.0,0.0,0.0,32.22
139,King 1917,Girmay Zahilay,None,158,Larry Gossett,None2,118,,,0,,,0,,,0,,,0,,,0,276,57.25,42.75,0.0,0.0,0.0,0.0,0.0,14.5
140,King 1918,Girmay Zahilay,None,128,Larry Gossett,None2,96,,,0,,,0,,,0,,,0,,,0,224,57.14,42.86,0.0,0.0,0.0,0.0,0.0,14.28
141,King 1919,Girmay Zahilay,None,95,Larry Gossett,None2,93,,,0,,,0,,,0,,,0,,,0,188,50.53,49.47,0.0,0.0,0.0,0.0,0.0,1.06
142,King 1920,Girmay Zahilay,None,200,Larry Gossett,None2,147,,,0,,,0,,,0,,,0,,,0,347,57.64,42.36,0.0,0.0,0.0,0.0,0.0,15.28
143,King 1925,Girmay Zahilay,None,131,Larry Gossett,None2,87,,,0,,,0,,,0,,,0,,,0,218,60.09,39.91,0.0,0.0,0.0,0.0,0.0,20.18
144,King 1927,Girmay Zahilay,None,193,Larry Gossett,None2,64,,,0,,,0,,,0,,,0,,,0,257,75.1,24.9,0.0,0.0,0.0,0.0,0.0,50.2
145,King 1930,Girmay Zahilay,None,235,Larry Gossett,None2,83,,,0,,,0,,,0,,,0,,,0,318,73.9,26.1,0.0,0.0,0.0,0.0,0.0,47.8
146,King 1932,Girmay Zahilay,None,178,Larry Gossett,None2,98,,,0,,,0,,,0,,,0,,,0,276,64.49,35.51,0.0,0.0,0.0,0.0,0.0,28.98
147,King 1934,Girmay Zahilay,None,113,Larry Gossett,None2,47,,,0,,,0,,,0,,,0,,,0,160,70.62,29.38,0.0,0.0,0.0,0.0,0.0,41.24
148,King 1935,Girmay Zahilay,None,240,Larry Gossett,None2,136,,,0,,,0,,,0,,,0,,,0,376,63.83,36.17,0.0,0.0,0.0,0.0,0.0,27.66
149,King 1936,Larry Gossett,None2,207,Girmay Zahilay,None,197,,,0,,,0,,,0,,,0,,,0,404,51.24,48.76,0.0,0.0,0.0,0.0,0.0,2.48
150,King 1938,Girmay Zahilay,None,262,Larry Gossett,None2,158,,,0,,,0,,,0,,,0,,,0,420,62.38,37.62,0.0,0.0,0.0,0.0,0.0,24.76
